name,url,location,address,type,comp
Equity Trader / Automation Engineer,https://sfbay.craigslist.org/pen/bus/5573729608.html,palo alto,"",full-time,Depends on experience
Software Test Engineer,https://sfbay.craigslist.org/sby/sof/5584979536.html,santa clara,"",full-time,Market Rate
Gameplay Engineer,https://sfbay.craigslist.org/pen/sof/5572311559.html,redwood city,"",full-time,Salary
EA Mobile - Server Software Engineer,https://sfbay.craigslist.org/pen/sof/5572308996.html,redwood city,"",full-time,Salary
OS X Sync Quality Engineer - 48412292,https://sfbay.craigslist.org/sby/sof/5572164002.html,cupertino,"",full-time,Open
OS X Dev Test Engineer -- Automation - 48411800,https://sfbay.craigslist.org/sby/sof/5572155425.html,cupertino,"",full-time,Negotiable
OS X Dev Test Engineer -- Automation - 48411657,https://sfbay.craigslist.org/sby/sof/5572152420.html,cupertino,"",full-time,Open
OS X Sync Quality Engineer - 48411845,https://sfbay.craigslist.org/sby/sof/5572148486.html,cupertino,"",full-time,Negotiable
OS X Sync Quality Engineer - 48411801,https://sfbay.craigslist.org/sby/sof/5572145494.html,cupertino,"",full-time,Open
Drafter/Artchitect/Construction Industry,https://sfbay.craigslist.org/sby/egr/5583416920.html,santa clara,"",full-time,to be discussed with the owner
Network Engineer (with VMware Experience) (S_425115),https://sfbay.craigslist.org/pen/sad/5572105188.html,"","",full-time,$85k to 93k per year + none
Senior Sales Engineer,https://sfbay.craigslist.org/sby/tch/5572064630.html,mountain view,"",full-time,Excellent Salary & Benefits
Cabinetry CAD & Engineering,https://sfbay.craigslist.org/sby/egr/5581832386.html,santa clara,"",full-time,Commensurate with experience
Software Engineer - API - SoundHound,https://sfbay.craigslist.org/sby/sof/5581651489.html,santa clara,"",full-time,"Competitive, with full benefits and Soundhound stock options"
